Generation	Freq_c	Freq_CC	Freq_Cc	Freq_cc
282	0.003012	0.993985	0.006006	0.000009
283	0.003003	0.994003	0.005988	0.000009
284	0.002994	0.994021	0.005970	0.000009
285	0.002985	0.994039	0.005952	0.000009
286	0.002976	0.994056	0.005935	0.000009
287	0.002967	0.994074	0.005917	0.000009
288	0.002959	0.994092	0.005900	0.000009
289	0.002950	0.994109	0.005882	0.000009
290	0.002941	0.994126	0.005865	0.000009
291	0.002933	0.994143	0.005848	0.000009
292	0.002924	0.994161	0.005831	0.000009
293	0.002915	0.994178	0.005814	0.000008
294	0.002907	0.994194	0.005797	0.000008
295	0.002899	0.994211	0.005780	0.000008
296	0.002890	0.994228	0.005764	0.000008
297	0.002882	0.994245	0.005747	0.000008
298	0.002874	0.994261	0.005731	0.000008
299	0.002865	0.994278	0.005714	0.000008
300	0.002857	0.994294	0.005698	0.000008
301	0.002849	0.994310	0.005682	0.000008
302	0.002841	0.994326	0.005666	0.000008
303	0.002833	0.994342	0.005650	0.000008
304	0.002825	0.994358	0.005634	0.000008
305	0.002817	0.994374	0.005618	0.000008
306	0.002809	0.994390	0.005602	0.000008
307	0.002801	0.994406	0.005587	0.000008
308	0.002793	0.994421	0.005571	0.000008
309	0.002786	0.994437	0.005556	0.000008
310	0.002778	0.994452	0.005540	0.000008
311	0.002770	0.994468	0.005525	0.000008
312	0.002762	0.994483	0.005510	0.000008
313	0.002755	0.994498	0.005494	0.000008
314	0.002747	0.994513	0.005479	0.000008
315	0.002740	0.994528	0.005464	0.000008
316	0.002732	0.994543	0.005450	0.000007
317	0.002725	0.994558	0.005435	0.000007
318	0.002717	0.994573	0.005420	0.000007
319	0.002710	0.994587	0.005405	0.000007
320	0.002703	0.994602	0.005391	0.000007
321	0.002695	0.994616	0.005376	0.000007
322	0.002688	0.994631	0.005362	0.000007
323	0.002681	0.994645	0.005348	0.000007
324	0.002674	0.994660	0.005333	0.000007
325	0.002667	0.994674	0.005319	0.000007
326	0.002660	0.994688	0.005305	0.000007
327	0.002653	0.994702	0.005291	0.000007
328	0.002646	0.994716	0.005277	0.000007
329	0.002639	0.994730	0.005263	0.000007
330	0.002632	0.994744	0.005249	0.000007
331	0.002625	0.994758	0.005236	0.000007
332	0.002618	0.994771	0.005222	0.000007
333	0.002611	0.994785	0.005208	0.000007
334	0.002604	0.994798	0.005195	0.000007
335	0.002597	0.994812	0.005181	0.000007
336	0.002591	0.994825	0.005168	0.000007
337	0.002584	0.994839	0.005155	0.000007
338	0.002577	0.994852	0.005141	0.000007
339	0.002571	0.994865	0.005128	0.000007
340	0.002564	0.994878	0.005115	0.000007
341	0.002558	0.994891	0.005102	0.000007
342	0.002551	0.994904	0.005089	0.000007
343	0.002545	0.994917	0.005076	0.000006
344	0.002538	0.994930	0.005063	0.000006
345	0.002532	0.994943	0.005050	0.000006
346	0.002525	0.994956	0.005038	0.000006
347	0.002519	0.994969	0.005025	0.000006
348	0.002513	0.994981	0.005012	0.000006
349	0.002506	0.994994	0.005000	0.000006
350	0.002500	0.995006	0.004988	0.000006
351	0.002494	0.995019	0.004975	0.000006
352	0.002488	0.995031	0.004963	0.000006
353	0.002481	0.995043	0.004950	0.000006
354	0.002475	0.995056	0.004938	0.000006
355	0.002469	0.995068	0.004926	0.000006
356	0.002463	0.995080	0.004914	0.000006
357	0.002457	0.995092	0.004902	0.000006
358	0.002451	0.995104	0.004890	0.000006
359	0.002445	0.995116	0.004878	0.000006
360	0.002439	0.995128	0.004866	0.000006
361	0.002433	0.995140	0.004854	0.000006
362	0.002427	0.995152	0.004843	0.000006
363	0.002421	0.995163	0.004831	0.000006
364	0.002415	0.995175	0.004819	0.000006
365	0.002410	0.995187	0.004808	0.000006
366	0.002404	0.995198	0.004796	0.000006
367	0.002398	0.995210	0.004785	0.000006
368	0.002392	0.995221	0.004773	0.000006
369	0.002387	0.995232	0.004762	0.000006
370	0.002381	0.995244	0.004751	0.000006
371	0.002375	0.995255	0.004739	0.000006
372	0.002370	0.995266	0.004728	0.000006
373	0.002364	0.995277	0.004717	0.000006
374	0.002358	0.995289	0.004706	0.000006
375	0.002353	0.995300	0.004695	0.000006
376	0.002347	0.995311	0.004684	0.000006
377	0.002342	0.995322	0.004673	0.000005
378	0.002336	0.995333	0.004662	0.000005
379	0.002331	0.995343	0.004651	0.000005
380	0.002326	0.995354	0.004640	0.000005
381	0.002320	0.995365	0.004630	0.000005
382	0.002315	0.995376	0.004619	0.000005
383	0.002309	0.995386	0.004608	0.000005
384	0.002304	0.995397	0.004598	0.000005
385	0.002299	0.995408	0.004587	0.000005
386	0.002294	0.995418	0.004577	0.000005
387	0.002288	0.995429	0.004566	0.000005
388	0.002283	0.995439	0.004556	0.000005
389	0.002278	0.995449	0.004545	0.000005
390	0.002273	0.995460	0.004535	0.000005
391	0.002268	0.995470	0.004525	0.000005
392	0.002262	0.995480	0.004515	0.000005
393	0.002257	0.995490	0.004504	0.000005
394	0.002252	0.995501	0.004494	0.000005
395	0.002247	0.995511	0.004484	0.000005
396	0.002242	0.995521	0.004474	0.000005
397	0.002237	0.995531	0.004464	0.000005
398	0.002232	0.995541	0.004454	0.000005
399	0.002227	0.995551	0.004444	0.000005
400	0.002222	0.995560	0.004435	0.000005
401	0.002217	0.995570	0.004425	0.000005
402	0.002212	0.995580	0.004415	0.000005
403	0.002208	0.995590	0.004405	0.000005
404	0.002203	0.995600	0.004396	0.000005
405	0.002198	0.995609	0.004386	0.000005
406	0.002193	0.995619	0.004376	0.000005
407	0.002188	0.995628	0.004367	0.000005
408	0.002183	0.995638	0.004357	0.000005
409	0.002179	0.995647	0.004348	0.000005
410	0.002174	0.995657	0.004338	0.000005
411	0.002169	0.995666	0.004329	0.000005
412	0.002165	0.995676	0.004320	0.000005
413	0.002160	0.995685	0.004310	0.000005
414	0.002155	0.995694	0.004301	0.000005
415	0.002151	0.995704	0.004292	0.000005
416	0.002146	0.995713	0.004283	0.000005
417	0.002141	0.995722	0.004273	0.000005
418	0.002137	0.995731	0.004264	0.000005
419	0.002132	0.995740	0.004255	0.000005
420	0.002128	0.995749	0.004246	0.000005
421	0.002123	0.995758	0.004237	0.000005
422	0.002119	0.995767	0.004228	0.000004
423	0.002114	0.995776	0.004219	0.000004
424	0.002110	0.995785	0.004211	0.000004
425	0.002105	0.995794	0.004202	0.000004
426	0.002101	0.995803	0.004193	0.000004
427	0.002096	0.995812	0.004184	0.000004
428	0.002092	0.995820	0.004175	0.000004
429	0.002088	0.995829	0.004167	0.000004
430	0.002083	0.995838	0.004158	0.000004
431	0.002079	0.995846	0.004149	0.000004
432	0.002075	0.995855	0.004141	0.000004
433	0.002070	0.995863	0.004132	0.000004
434	0.002066	0.995872	0.004124	0.000004
435	0.002062	0.995881	0.004115	0.000004
436	0.002058	0.995889	0.004107	0.000004
437	0.002053	0.995897	0.004098	0.000004
438	0.002049	0.995906	0.004090	0.000004
439	0.002045	0.995914	0.004082	0.000004
440	0.002041	0.995923	0.004073	0.000004
441	0.002037	0.995931	0.004065	0.000004
442	0.002033	0.995939	0.004057	0.000004
443	0.002028	0.995947	0.004049	0.000004
444	0.002024	0.995956	0.004040	0.000004
445	0.002020	0.995964	0.004032	0.000004
446	0.002016	0.995972	0.004024	0.000004
447	0.002012	0.995980	0.004016	0.000004
448	0.002008	0.995988	0.004008	0.000004
449	0.002004	0.995996	0.004000	0.000004
450	0.002000	0.996004	0.003992	0.000004
451	0.001996	0.996012	0.003984	0.000004
452	0.001992	0.996020	0.003976	0.000004
453	0.001988	0.996028	0.003968	0.000004
454	0.001984	0.996036	0.003960	0.000004
455	0.001980	0.996044	0.003953	0.000004
456	0.001976	0.996051	0.003945	0.000004
457	0.001972	0.996059	0.003937	0.000004
458	0.001969	0.996067	0.003929	0.000004
459	0.001965	0.996075	0.003922	0.000004
460	0.001961	0.996082	0.003914	0.000004
461	0.001957	0.996090	0.003906	0.000004
462	0.001953	0.996098	0.003899	0.000004
463	0.001949	0.996105	0.003891	0.000004
464	0.001946	0.996113	0.003883	0.000004
465	0.001942	0.996120	0.003876	0.000004
466	0.001938	0.996128	0.003868	0.000004
467	0.001934	0.996135	0.003861	0.000004
468	0.001931	0.996143	0.003854	0.000004
469	0.001927	0.996150	0.003846	0.000004
470	0.001923	0.996158	0.003839	0.000004
471	0.001919	0.996165	0.003831	0.000004
472	0.001916	0.996172	0.003824	0.000004
473	0.001912	0.996180	0.003817	0.000004
474	0.001908	0.996187	0.003810	0.000004
475	0.001905	0.996194	0.003802	0.000004
476	0.001901	0.996201	0.003795	0.000004
477	0.001898	0.996209	0.003788	0.000004
478	0.001894	0.996216	0.003781	0.000004
479	0.001890	0.996223	0.003774	0.000004
480	0.001887	0.996230	0.003766	0.000004
481	0.001883	0.996237	0.003759	0.000004
482	0.001880	0.996244	0.003752	0.000004
483	0.001876	0.996251	0.003745	0.000004
484	0.001873	0.996258	0.003738	0.000004
485	0.001869	0.996265	0.003731	0.000003
486	0.001866	0.996272	0.003724	0.000003
487	0.001862	0.996279	0.003717	0.000003
488	0.001859	0.996286	0.003711	0.000003
489	0.001855	0.996293	0.003704	0.000003
490	0.001852	0.996300	0.003697	0.000003
491	0.001848	0.996307	0.003690	0.000003
492	0.001845	0.996313	0.003683	0.000003
493	0.001842	0.996320	0.003676	0.000003
494	0.001838	0.996327	0.003670	0.000003
495	0.001835	0.996334	0.003663	0.000003
496	0.001832	0.996340	0.003656	0.000003
497	0.001828	0.996347	0.003650	0.000003
498	0.001825	0.996354	0.003643	0.000003
499	0.001821	0.996360	0.003636	0.000003
